symbol,slot,entry_date,entry_price,exit_date,exit_price,qty,currency,reason,days_held,gross_pnl,fees,net_pnl,net_pct
XOM,2,2024-12-04,114.28,2024-12-16,108.47,1,USD,stop,12,-5.81,0.7003,-6.5103,-5.697
INTC,2,2024-12-05,20.8,2024-12-16,20.83,5,USD,time,11,0.15,0.7013,-0.5513,-0.53
UNH,3,2024-12-11,533.53,2024-12-16,498.5,1,USD,stop,5,-35.03,0.7003,-35.7303,-6.697
XOM,1,2024-12-16,108.47,2024-12-26,106.49,1,USD,time,10,-1.98,0.7003,-2.6803,-2.471
JNJ,2,2024-12-16,143.85,2024-12-26,145.58,1,USD,time,10,1.73,0.7003,1.0297,0.716
UNH,3,2024-12-16,498.5,2024-12-26,511.15,1,USD,time,10,12.65,0.7003,11.9497,2.397
COST,1,2024-12-27,939.7,2025-01-06,922.71,1,USD,time,10,-16.99,0.7003,-17.6903,-1.883
MCD,2,2024-12-30,289.6,2025-01-10,282.31,1,USD,time,11,-7.29,0.7003,-7.9903,-2.759
MSFT,3,2025-01-02,418.58,2025-01-13,417.19,1,USD,time,11,-1.39,0.7003,-2.0903,-0.499
PG,3,2025-01-06,160.6,2025-01-16,160.5,1,USD,time,10,-0.1,0.7003,-0.8003,-0.498
ORCL,3,2025-01-13,153.92,2025-01-16,159.54,1,USD,target,3,5.62,0.7003,4.9197,3.196
PEP,3,2025-01-10,142.64,2025-01-17,148.25,1,USD,target,7,5.61,0.7003,4.9097,3.442
DIS,2,2025-01-16,106.46,2025-01-23,111.04,1,USD,target,7,4.58,0.7003,3.8797,3.644
AAPL,3,2025-01-16,228.26,2025-01-27,229.86,1,USD,time,11,1.6,0.7003,0.8997,0.394
MCD,3,2025-01-17,280.95,2025-01-27,293.09,1,USD,target,10,12.14,0.7003,11.4397,4.072
AMD,1,2025-01-28,114.17,2025-01-30,118.86,1,USD,target,2,4.69,0.7003,3.9897,3.495
TSLA,1,2025-02-07,361.62,2025-02-11,328.5,1,USD,stop,4,-33.12,0.7003,-33.8203,-9.352
TSLA,1,2025-02-11,328.5,2025-02-13,355.94,1,USD,target,2,27.44,0.7003,26.7397,8.14
UNH,1,2025-02-18,500.73,2025-02-21,466.42,1,USD,stop,3,-34.31,0.7003,-35.0103,-6.992
CRM,2,2025-02-20,318.43,2025-02-27,294.9,1,USD,stop,7,-23.53,0.7003,-24.2303,-7.609
UNH,2,2025-02-21,466.42,2025-03-03,467.05,1,USD,time,10,0.63,0.7003,-0.0703,-0.015
AMZN,3,2025-02-21,216.58,2025-03-03,205.02,1,USD,stop,10,-11.56,0.7003,-12.2603,-5.661
GOOGL,3,2025-02-27,168.5,2025-03-07,173.86,1,USD,target,8,5.36,0.7003,4.6597,2.765
AVGO,2,2025-03-03,187.37,2025-03-07,194.96,1,USD,target,4,7.59,0.7003,6.8897,3.677
AMZN,3,2025-03-03,205.02,2025-03-10,194.54,1,USD,stop,7,-10.48,0.7003,-11.1803,-5.453
JPM,3,2025-03-07,242.28,2025-03-11,229.14,1,USD,stop,4,-13.14,0.7003,-13.8403,-5.713
NFLX,2,2025-03-07,89.11,2025-03-12,91.97,1,USD,target,5,2.86,0.7003,2.1597,2.424
CRM,3,2025-03-10,272.9,2025-03-12,284.58,1,USD,target,2,11.68,0.7003,10.9797,4.023
